`Flux`/`Peak`,lin_slope
1,-1.21948
1.0003524193176612,-1.27799
1.6291390965381816,-1.25435
2.215277803827503,-1.58461
1,-1.22726
1.5100000142802799,-1.31134
1.0026455474895681,-1.24296
1.0909091323538338,-1.08687
1.6000000784271666,-1.26737
1.1004291598462943,-1.05245
1.1243780757968647,-1.15806
1.1534988719013024,-1.03511
1.1975000880099853,-1.0001
1,-1.22174
1,-1.07901
1,-1.0971
1.1627357827467055,-1.05568
1,-1.01261
1.6843853719860036,-1.22092
1.561475306592161,-1.15088
1.1351931858843152,-1.11404
1.0213766366989168,-1.31597
1.0604027701408978,-1.56953
1.0819672045334428,-1.01006
1.5109489204917683,-1.9112
1.00111104709131,-1.14596
1.0461759655032759,-1.02805
1.1915273920852787,-1.03184
1.1402142749358684,-1.0285
1.1288209440048205,-1.15592
1.0716723636275098,-1.19671
2.272413787787933,-1.03211
1.3294798826770327,-1.00368
1.0017513431922829,-1.15481
1.107391963203068,-1.01744
1.0393443014258632,-1.3274
1,-1.11631
1.1459143967461547,-1.14196
1,-1.00549
1.3189368813937536,-1.03409
1.3459743694804738,-1.17724
1.1118420359299341,-1.01263
1,-1.2135
1.3563218710719864,-1.10651
1.2346837927931682,-1.05698
1.1159420358320291,-1.0685
1.020211725564498,-1.08603
1.055401722117518,-1.26897
1.2532981105013474,-1.05731
1.302706598667556,-1.12321
1.0203251678557435,-1.18821
1.0205562151266427,-1.25014
1.1637011169175702,-1.59503
1.0011948524584648,-1.04795
1.0615763906137727,-1.14979
1.3898530654015733,-1.34783
1.0010090236228513,-1.02305
1,-1.00844
1.184890681241563,-1.12814
1.0301932975729464,-1.01895
1.2033333649983016,-1.09173
1.039631390581216,-1.37446
1.2985075733360154,-1.09483
1.0468227883113097,-1.01856
1.015374293066398,-1.08124
1.0429799203663208,-1.10135
1.0651628880802384,-1.03968
1,-1.0396
1,-1.15679
1.660377446903774,-1.21427
1.0279225330507846,-1.13036
1.733333427943882,-1.49216
1.004514749375404,-1.07671
1,-1.02719
1,-1.09085
1,-1.15862
1.0490928858404855,-1.08349
1.0158730878320978,-1.19328
1,-1.04477
1.2299169703999373,-1.1454
1.6888887355847653,-1.87242
1.0382966255259463,-1.10041
1.0258503722705405,-1.21176
1.039473783104435,-1.06553
1.1789882329390589,-1.18568
1.0596331015991836,-1.86688
1.0527307501752852,-1.22105
1.2347825936724268,-1.46831
1.0663900831844957,-1.05441
1.05710253483898,-1.05683
1.086956473324442,-1.04064
1.4088050088520554,-1.09165
1.0578899008662292,-1.21354
1.0033333898335708,-1.1639
1.0861618791336862,-1.02556
1.2103786901273224,-1.26158
1.0953435251541053,-1.01394
1.1314285604807797,-1.02335
1.2882881998500655,-1.47797
1.0802920627657953,-1.79185
1.396241243379952,-1.0896
1,-1.18595
1.2436975480466603,-1.07208
1.1512605686530735,-1.00906
1.0269122164307263,-1.02834
1,-1.13138
1,-1.2802
1.1253749984245172,-1.46076
1.50530037754437,-1.8809
1.1666666792862133,-1.41413
1.0107527369868863,-1.43316
1,-1.97787
1,-1.88203
1,-1.31572
1,-1.58928
1.1666666666666667,-2.70751
1,-1.06404
1.0291262539738313,-1.71253
1.1739130874916155,-1.64118
1.132231411955842,-1.32917
1.2912620876399843,-1.43204
1.0398935993666214,-1.09103
1.293333276212214,-1.17403
1.2348065792328042,-1.10622
1.396694158898718,-1.06202
1.2023810592929864,-1.32258
1,-1.06074
1,-1.37001
1.5416667906274282,-1.46823
1.0163934150912428,-1.34574
1.1249999664186572,-1.07255
1,-1.09263
1.1372549115091382,-1.25654
1,-1.56309
1,-1.06495
1,-1.19286
1,-1.87617
1,-1.44756
1.0181817873942949,-1.21204
1.4666666459706097,-1.17741
1.0526316111953795,-1.39056
1.2374101432823064,-1.70583
1,-1.20593
1.2484472365866994,-1.12682
1,-1.35829
1.1439999767541889,-1.33023
1.2935781031520999,-1.35186
1.1684211640807105,-1.32949
1,-1.09224
1,-1.26706
1.1171169946641932,-1.4347
1.8493150696582505,-1.09685
2.06206899032298,-1.35719
1,-1.06397
1,-1.12411
1.042016815930031,-1.47538
1.5249998981365982,-1.34604
1,-1.84239
1,-1.24863
1,-1.3709
1.5789473839000987,-1.20523
1.1369862568047944,-1.75258
1,-1.10122
1.1481480996018423,-1.69375
1.2134832072071393,-1.15735
1,-1.40905
1.0460525525713202,-1.31643
1.2343750272848397,-1.08348
1.4943820318780214,-1.28083
1.29032270178494,-1.68628
1,-1.18266
1.8125000363797863,-2.45526
1,-1.54611
1.2063492251211403,-1.49982
1.0736197426692622,-1.05646
1,-1.158
1,-1.3666
1.0476190792966873,-1.17655
1.3548387242141928,-2.97991
1,-1.82437
1.2672413087136623,-1.06839
1.3,-1.43631
1,-1.11346
1.0151514894952458,-1.67241
1.06829265589022,-1.51555
1.1140939546975943,-1.3228
1.3739131364344648,-2.17168
1.4087590412217648,-1.67247
1.1391304411205316,-1.1754
1.2643677914830873,-1.55912
1.7637794859847318,-1.09202
1,-1.12716
1.3292681860323647,-1.39206
1,-1.45757
1,-1.39135
1.0348836604874498,-1.27019
1,-1.08894
1.056818191439283,-1.85963
1.2429906875571903,-1.55137
1,-1.21101
1.2559999338388452,-1.00801
1,-1.13808
1.309859151234586,-1.21867
1,-1.24844
1.2688172473729944,-1.46497
1,-1.16694
1.0746268801943824,-1.03736
1.073684185759842,-1.02656
1.4303796931139074,-1.21236
1.3033709064447734,-1.20307
1.0151514894952458,-1.11092
1.1139239670660783,-1.21007
1.2030650717571545,-1.10296
1.0608107704183507,-1.17114
1.077922066926534,-2.16761
1.592814205623738,-1.21075
1,-1.12522
1.1653543451441903,-1.17964
1.2911390793417223,-1.19318
1.1194029944106743,-1.27133
1.1818181561619123,-1.17532
1.6764704573184115,-1.51666
1.32,-1.01302
1.2153846749010864,-1.23746
1.35227265992502,-1.72324
1.4677420638920362,-1.60473
1,-1.92141
1.0796812873178356,-1.25292
1.0341880566393788,-1.31746
1.1647727657571314,-1.04957
1.175257733938405,-1.22319
1.022613074028165,-1.21691
1.017699084411037,-1.17286
1,-1.4772
2.4657532603784578,-2.75364
1,-1.10512
1,-1.09625
1,-1.0311
1.1518987013473878,-1.6636
1.1166666226875455,-1.17443
1,-1.07507
1.0149254177398885,-1.19022
1.0357143371904503,-1.13984
1.6481480651084146,-1.29767
1.3649999469146121,-1.14633
1,-1.33908
1,-1.01835
1.4925373258808992,-1.99211
1.0972223174384592,-1.15816
1.7866666517655052,-1.17172
1.1898733177397722,-1.08504
1,-1.76049
1.2948718216603297,-1.53842
1.2662191595761836,-1.02612
1,-1.38881
1.1868131688187893,-1.52157
1.282051288174376,-2.13081
1.1197603768565803,-1.35945
1.4090909219190437,-1.08633
2.4931507286227506,-1.38416
1.4045801732942471,-1.36439
1.062801914979158,-1.00668
1.2500000831538043,-1.0508
1,-1.38641
1,-1.07019
1.2033897930522393,-1.79641
1.5277777957431056,-1.77089
1.11162788682915,-1.28518
1.2833333152242834,-1.4545
1.4430377806891104,-1.13749
1.0757575885857105,-1.93489
1,-1.92507
1.0692167058297126,-1.1122
1.0704225056513355,-1.17893
1,-1.21287
1.9677419887853735,-2.14449
1,-1.0256
1.4166667313418448,-1.70605
1.134615450055948,-1.70432
1.1722487795218117,-1.04484
1.0806451782498916,-1.18965
1.2478633111352193,-1.13431
1.3333334023201937,-1.43825
1.0115384416996378,-1.03505
1.0144927966584685,-1.29651
1.5999998935631377,-2.90651
1.1874999636202137,-1.30901
1.1679999828338623,-1.28145
1.0346320566231226,-1.27421
1.2200000037252903,-1.35817
1.0045872339589286,-1.03689
1.1502145799231471,-1.02934
1.0108695465117161,-1.04358
1.0882352490016771,-1.10978
1.093877546055423,-1.0887
1.4366196296300668,-2.51279
1.0454545531514263,-1.01221
1,-1.31467
1,-1.13568
1.0720719450838547,-1.3504
1.3150685246083804,-1.94572
1.1263736111908536,-1.18653
1.1818181561619123,-1.11016
1.117021277649754,-1.90255
1,-1.40039
1.0762711329317702,-1.22961
1.2038834161381562,-1.19877
1,-1.04308
1.0069685640032098,-1.2327
1.1758240746056898,-1.1596
1.0269151078035812,-1.0772
1,-1.53489
1.2574256604067962,-1.33391
1.0497925237442816,-1.26643
1,-1.03253
1,-1.43818
1.485714243899804,-1.30489
1.1998447318820518,-1.01539
1.4677420638920362,-2.31326
1,-1.23825
1.0430463449537306,-1.05383
1.0671784972521872,-1.11074
1,-1.76497
1.2500000277179348,-1.6391
1,-1.6453
1.2272727657571314,-1.98732
1.1439999767541889,-1.0482
1,-1.05897
1,-1.06223
1.1923076578652905,-1.35014
1.3788820242254924,-1.12566
1.0857909430897459,-1.35652
1.1475410411728557,-1.00802
1.2499998795703648,-1.44299
1.1016948385581402,-1.00454
1.2539683396152026,-1.40464
1.0687831506495606,-1.40743
1.1758240746056898,-1.5512
1.5714285608693586,-2.52319
1.5322580863212891,-3.01949
1,-1.02994
1,-1.34466
1.04492514397535,-1.01342
1,-2.36444
1.0652174162452488,-1.08729
1,-1.01767
1.1200000178813931,-1.06532
1.3006535693089647,-1.22809
1,-1.02992
1.063186754423859,-1.02655
1.2553192388782914,-1.16041
1.2083333575865243,-1.04898
1.226666721304259,-3.41186
1,-1.27871
1,-1.29983
1,-1.21944
1.0811359158184137,-1.16072
1.5079364574869354,-2.05236
1,-1.15313
1.0595238214029243,-1.05401
1.00465115473166,-1.29536
1,-1.0891
1,-1.25615
1.3492064207743475,-1.83383
1,-1.70894
1.4024390202350272,-1.89466
1.4590163859339753,-1.78127
1.0722891471632194,-1.13132
1.0841708762603626,-1.01822
1,-1.23615
1,-1.05325
1.0592254943583068,-1.53901
1,-2.42523
1.1799999895691873,-1.11217
1.0603773972155492,-1.00377
1.2812499454303206,-1.34467
1,-1.31485
1.1039999707937245,-1.54741
1.1904761623182896,-1.14661
1.1323529200283589,-1.43829
1,-1.2744
1.3285713924589218,-2.17451
1.0939596354790901,-1.10102
1.0755467419150644,-1.24156
1.1496063402095007,-1.14288
1,-1.09721
2.2933334624767334,-3.34727
3.7564099617363746,-1.32018
1.2845528800013628,-1.51681
1.1318327933192966,-1.15726
1.1236412687245183,-1.16508
1,-1.16271
1.3559096807579605,-1.64105
1.209486169111877,-1.41977
1.0433884717350523,-1.16985
1.0992907417290632,-1.05533
1.0651340547740376,-1.0165
1.1351350648380862,-1.1943
1.4673913098494953,-1.7394
1.0618557611666304,-1.08963
1.1153845602767718,-1.16416
1.0579710516595864,-1.20103
1.0368171967197621,-1.05164
1,-1.11162
1.1437125414563987,-1.37297
1,-1.134
1.1803278713553416,-2.55296
1,-1.12453
1,-1.15336
1.1243243464565575,-1.04924
1.1343284121505628,-1.64845
3.20634937295012,-3.56644
1.0173284897926511,-1.09616
1,-2.24104
1.151515177171421,-1.12031
1.044943849618817,-1.08214
1,-1.93965
1.419354896856771,-2.77271
1.101886831443053,-1.05502
1,-1.81762
1.3900709126168447,-1.09658
1.191357924617833,-1.15997
1.9874997889972392,-3.18001
1.1300812257113164,-1.59761
1.1089493717848988,-1.21707
1.181818191439283,-1.09818
4.243589321861668,-1.48498
1.0406290984905202,-1.00024
1.4729728615748199,-1.95949
1.2676055709879641,-1.4841
1.3687499788335777,-1.05366
1.2743362204606947,-1.42324
1.1979695844230673,-1.07718
1.0497511561836201,-1.28329
1.6050421963498884,-1.88017
5.375000016168795,-2.34482
2.150326906395995,-1.25936
1.067909415619493,-1.32347
1.056818191439283,-1.26914
1.0247933464467658,-1.14271
1.1701031991892692,-1.18562
1.2592592432900798,-1.0779
1.1091314249227064,-1.07765
1.0454545743178485,-1.66054
1.1533742368678186,-1.07408
1.2056891619572723,-1.17448
1,-1.11299
1,-1.13142
1,-1.03974
1.0826446420935023,-1.50183
1.0979020623780327,-1.07749
1.0576101527983606,-1.09415
1.152941127487535,-1.07301
1.3472221557505095,-2.85853
1,-1.12823
1.090909143473155,-1.01802
1.1212121276261886,-1.66714
1.1483253750556344,-1.11286
1,-1.04488
1.2772276059118879,-1.02282
1.2640693007210775,-1.11656
1.5617021438491572,-1.20104
1.2331290327557038,-1.38278
1.1587301845415678,-1.95781
1.0952380811591447,-1.08743
1.3478260623090434,-1.38454
1,-1.37856
1,-1.50829
1.064425711556518,-1.61292
1.9062498726707477,-1.87576
1.263513506285389,-1.07817
1,-1.10111
1.5338345296043643,-1.83915
1.6712328050586889,-1.65883
1.2500000223875618,-1.23478
1.0487805182764671,-1.45146
1.0597015319561807,-1.28383
1.3154532735878652,-1.13676
1.0288808159326759,-1.05293
2.287356257856027,-2.24529
1.0990990083932295,-1.25424
2.2413793251101475,-3.45867
1.494252883406765,-1.80037
1.370370421471745,-1.68493
1.0939850145293326,-1.03132
1,-1.1804
1.1214953872983435,-1.40489
1.006568174364635,-1.04056
1,-1.01344
1.0250329680814785,-1.02239
1.870129848138782,-2.84662
1,-1.14981
1.0128205503244614,-1.76639
1.5714285914355015,-1.07914
1.3652481941589563,-1.14466
1.1176029823754416,-1.13641
1.030985809372809,-1.11228
2.567164345078655,-2.8431
1,-1.02955
1.1153846153846154,-1.08763
1.8906248999555875,-3.60689
1.5245901989747819,-1.57174
1.1475410411728557,-1.18939
1.3000000558793556,-1.15566
1.1207482511567881,-1.01058
1.5546219546239268,-1.22496
1.0470220391211538,-1.22467
1,-1.17113
1.028571421553613,-1.10693
1.6428570953406865,-1.03535
1.0209424386713495,-1.00808
1.1494252455212484,-1.08856
1.365546243807585,-1.02658
1.2891565886528777,-1.00489
1,-1.07695
1.0044247711027592,-1.17495
1,-1.01988
1.1492537603887647,-1.02352
1.398218950960106,-1.30327
1.0260869931408498,-1.59261
1.2837837421157723,-1.17324
1.2513368712302602,-1.57217
1.1796116131763514,-1.1033
1.013071873145344,-1.33225
1,-1.10069
2.350000023283064,-2.68003
1.196721362784502,-1.62378
1.1238095812516427,-1.09822
1.2295081929669878,-1.80901
1.4883722206246952,-1.49667
1.2222222365944844,-1.17678
1.0656738833246238,-1.12225
1,-1.20247
1,-1.40658
1,-1.13727
1.6986300181461182,-2.61477
1.2000000372529038,-1.84034
1.2179486391138872,-1.38662
1.4133334475755717,-1.71871
1.130434760602019,-1.15723
1.0384615625712204,-1.26572
1.1223628148135456,-1.00725
1.4696968799000267,-2.14067
1.1516393949456665,-1.29685
1.1560694351102827,-1.28872
1.0547944899640747,-1.55922
1.4950494675186516,-2.07914
1.1444042813938906,-1.28661
1.1255060060123467,-1.14863
1.14772734007498,-1.04021
1.0847457734136459,-1.03208
1.196721362784502,-1.08535
1,-1.26389
1.0084034257959307,-1.65152
1.0428482788056803,-1.12069
1.022507939599511,-1.03767
4.10769240909074,-1.14416
1.5520832423838675,-2.64765
1.0540540880687572,-1.56062
1.033519601323165,-1.25207
1.3692307075099845,-1.7449
1.198581483458126,-1.21589
1.1643835371767386,-1.0044
2.316831496922071,-1.20061
1.2170542641255468,-1.282
1.1182108371429285,-1.09655
1,-1.0611
1.0374999345163847,-2.09493
1.533333370586237,-1.16698
1,-1.09017
1.0684931602970051,-1.7248
1.1500000279396778,-1.29174
1.0777777524825956,-1.44063
1,-2.19919
1.3636363123238249,-1.75986
1.2295081929669878,-1.06649
1.2074072566583527,-1.15641
1.0821918306299356,-1.69261
1.1411765255867552,-1.0147
1.203007597771716,-1.23402
1,-1.61554
1.174603276284486,-1.13181
1.076613001954726,-1.18197
1.132653119407907,-1.21738
1.0794700614339827,-1.19245
1.06804739010338,-1.06287
1.8692810250635339,-1.04921
1.3600000484287749,-1.98578
1.3709678800348315,-2.44073
1.0297618552655927,-1.35399
1,-1.52061
1.2666666770146953,-1.09279
1.0935252242025149,-1.088
1.060833811110929,-1.28308
1,-1.30166
1.0693780066345817,-1.02136
1.1481481225974608,-1.08986
1.9508196020504365,-3.29965
1.5245901989747819,-1.39118
1.1744186273172064,-1.40048
1.0326679576950337,-1.04077
1.1153846613078204,-1.66139
1.1622807633839232,-1.15099
1.1142857161863726,-1.78691
1.175000011641532,-1.79115
1,-1.41272
1.1232876502610798,-1.26935
1,-1.08539
1.506172771371007,-1.70934
1.1104972500772843,-1.0828
1.1534090428035857,-1.20054
1.3816199047950406,-1.34462
1,-1.27904
1.584732952417179,-1.08781
1.531335224265019,-1.10314
1.2172131316485555,-1.10857
1.0382353577096857,-1.00322
1.2205127279316434,-1.2001
1,-1.51535
1.227710936492236,-1.04241
1.4283464193684114,-1.61483
1.2968749181454808,-2.07639
1.1729323903213595,-1.09653
1.4269663097712901,-2.1801
1.072916636350178,-1.14944
1.255813943414575,-1.20465
1,-1.34008
1.010852666435872,-1.22898
1.1030928072608601,-1.06861
1.8615384130435593,-2.31179
2.0975608057075683,-1.05857
1.2164949720579206,-1.03606
1,-1.15001
1,-1.09005
1.0462606986496699,-1.2678
1.1256683858117835,-1.13057
1.2598684041224257,-1.12792
1.4999999417923418,-1.66083
1,-1.20319
1.253588532950371,-1.13195
1,-1.49653
1.8292682428203264,-1.42136
1.2619048806959108,-1.84845
1.4787233905531987,-2.09341
1.1292516696491164,-1.00697
1.2567567610085946,-1.63507
1.0468749181454808,-1.6681
1,-1.62246
1,-1.25845
1.217391233926461,-1.22566
1.0927836417499457,-1.18781
1.173711058259939,-1.06962
1.061452515710476,-1.04032
1.2753623266651761,-1.36276
1.4059286429981894,-1.00488
1.0983606432232922,-1.50174
1.0888450467540476,-1.23889
1.1378298425032465,-1.0146
1.7662337992203982,-2.04862
1.068181808560717,-1.50699
1.03524223002108,-1.28383
1.144144057973568,-1.73836
1.0803571755247088,-1.74541
1.1401869451721671,-1.81829
1.2970480442844907,-1.38132
1.010380626702967,-1.18612
1,-1.2773
1.0034842495513427,-1.31116
1.3279351817609792,-2.11844
1.0817308092700626,-1.17807
1.013605418903504,-1.11855
1.0987654955023252,-1.15625
1,-1.24843
1,-1.37018
1.0927836417499457,-1.635
1.1783581100346197,-1.23068
1.1846153537549922,-1.49784
1.2115384598163415,-1.73234
1.1704545743178485,-1.10487
1.5488722383659252,-1.29473
1.0426665924920007,-1.36169
1.8144331005506804,-3.42246
1.3698629507832392,-1.21126
1,-1.2363
1.288209602724635,-1.15242
1.5145631269869155,-2.17196
1.0228426479930661,-1.22717
1,-1.77917
1.026011680185739,-1.03269
1.0785875838200891,-1.00346
1.0227272342428686,-1.68058
1.0769230034459532,-1.46915
